"","species_code","days","mass_init","mass_rem","fTreatment","fTub","sp_abrev","species","family","gf","gf_old","LAM","DMC","N","C","HC_1","HC_2","CL","LG","wt_type","HC","mRem","mInit","t"
"169","G",0,3870,3870,"inundated","G 1","R. crispus","Rumex_crispus","Polygonaceae","Tda","F",1.80773821792836,-2.25146567592364,1.26914652581694,-1.35782203696345,NA,15.4145658330621,-1.04478459484651,-0.120239820736295,"mean",-0.323130583210708,8.26100978602383,8.26100978602383,0
"170","G",0,3870,3870,"inundated","G 2","R. crispus","Rumex_crispus","Polygonaceae","Tda","F",1.80773821792836,-2.25146567592364,1.26914652581694,-1.35782203696345,NA,15.4145658330621,-1.04478459484651,-0.120239820736295,"mean",-0.323130583210708,8.26100978602383,8.26100978602383,0
"171","G",0,3870,3870,"inundated","G 3","R. crispus","Rumex_crispus","Polygonaceae","Tda","F",1.80773821792836,-2.25146567592364,1.26914652581694,-1.35782203696345,NA,15.4145658330621,-1.04478459484651,-0.120239820736295,"mean",-0.323130583210708,8.26100978602383,8.26100978602383,0
"172","G",14,4140,2620,"inundated","G 1","R. crispus","Rumex_crispus","Polygonaceae","Tda","F",1.80773821792836,-2.25146567592364,1.26914652581694,-1.35782203696345,NA,15.4145658330621,-1.04478459484651,-0.120239820736295,"mean",-0.323130583210708,7.87092959675514,8.32845106681936,0.0383561643835616
"173","G",14,4280,2700,"inundated","G 2","R. crispus","Rumex_crispus","Polygonaceae","Tda","F",1.80773821792836,-2.25146567592364,1.26914652581694,-1.35782203696345,NA,15.4145658330621,-1.04478459484651,-0.120239820736295,"mean",-0.323130583210708,7.90100705199242,8.36170828857584,0.0383561643835616
"174","G",14,4180,2640,"inundated","G 3","R. crispus","Rumex_crispus","Polygonaceae","Tda","F",1.80773821792836,-2.25146567592364,1.26914652581694,-1.35782203696345,NA,15.4145658330621,-1.04478459484651,-0.120239820736295,"mean",-0.323130583210708,7.87853419614036,8.3380665255188,0.0383561643835616
"175","G",28,4360,2340,"inundated","G 1","R. crispus","Rumex_crispus","Polygonaceae","Tda","F",1.80773821792836,-2.25146567592364,1.26914652581694,-1.35782203696345,NA,15.4145658330621,-1.04478459484651,-0.120239820736295,"mean",-0.323130583210708,7.75790620835175,8.38022733634308,0.0767123287671233
"176","G",28,4090,2330,"inundated","G 2","R. crispus","Rumex_crispus","Polygonaceae","Tda","F",1.80773821792836,-2.25146567592364,1.26914652581694,-1.35782203696345,NA,15.4145658330621,-1.04478459484651,-0.120239820736295,"mean",-0.323130583210708,7.75362354655975,8.31630024903685,0.0767123287671233
"177","G",28,4290,2500,"inundated","G 3","R. crispus","Rumex_crispus","Polygonaceae","Tda","F",1.80773821792836,-2.25146567592364,1.26914652581694,-1.35782203696345,NA,15.4145658330621,-1.04478459484651,-0.120239820736295,"mean",-0.323130583210708,7.82404601085629,8.36404201192206,0.0767123287671233
"178","G",42,4290,2310,"inundated","G 1","R. crispus","Rumex_crispus","Polygonaceae","Tda","F",1.80773821792836,-2.25146567592364,1.26914652581694,-1.35782203696345,NA,15.4145658330621,-1.04478459484651,-0.120239820736295,"mean",-0.323130583210708,7.74500280351584,8.36404201192206,0.115068493150685
"179","G",42,4120,2390,"inundated","G 2","R. crispus","Rumex_crispus","Polygonaceae","Tda","F",1.80773821792836,-2.25146567592364,1.26914652581694,-1.35782203696345,NA,15.4145658330621,-1.04478459484651,-0.120239820736295,"mean",-0.323130583210708,7.77904864492556,8.32360844234357,0.115068493150685
"180","G",42,4330,2550,"inundated","G 3","R. crispus","Rumex_crispus","Polygonaceae","Tda","F",1.80773821792836,-2.25146567592364,1.26914652581694,-1.35782203696345,NA,15.4145658330621,-1.04478459484651,-0.120239820736295,"mean",-0.323130583210708,7.84384863815247,8.37332282099653,0.115068493150685
"181","G",84,4050,1760,"inundated","G 1","R. crispus","Rumex_crispus","Polygonaceae","Tda","F",1.80773821792836,-2.25146567592364,1.26914652581694,-1.35782203696345,NA,15.4145658330621,-1.04478459484651,-0.120239820736295,"mean",-0.323130583210708,7.4730690880322,8.30647216010058,0.23013698630137
"182","G",84,4280,1680,"inundated","G 2","R. crispus","Rumex_crispus","Polygonaceae","Tda","F",1.80773821792836,-2.25146567592364,1.26914652581694,-1.35782203696345,NA,15.4145658330621,-1.04478459484651,-0.120239820736295,"mean",-0.323130583210708,7.4265490723973,8.36170828857584,0.23013698630137
"183","G",84,4310,2200,"inundated","G 3","R. crispus","Rumex_crispus","Polygonaceae","Tda","F",1.80773821792836,-2.25146567592364,1.26914652581694,-1.35782203696345,NA,15.4145658330621,-1.04478459484651,-0.120239820736295,"mean",-0.323130583210708,7.69621263934641,8.36869318309779,0.23013698630137
"184","G",168,4090,1390,"inundated","G 1","R. crispus","Rumex_crispus","Polygonaceae","Tda","F",1.80773821792836,-2.25146567592364,1.26914652581694,-1.35782203696345,NA,15.4145658330621,-1.04478459484651,-0.120239820736295,"mean",-0.323130583210708,7.23705902612474,8.31630024903685,0.46027397260274
"185","G",168,4050,1520,"inundated","G 2","R. crispus","Rumex_crispus","Polygonaceae","Tda","F",1.80773821792836,-2.25146567592364,1.26914652581694,-1.35782203696345,NA,15.4145658330621,-1.04478459484651,-0.120239820736295,"mean",-0.323130583210708,7.32646561384032,8.30647216010058,0.46027397260274
"186","G",168,4130,1010,"inundated","G 3","R. crispus","Rumex_crispus","Polygonaceae","Tda","F",1.80773821792836,-2.25146567592364,1.26914652581694,-1.35782203696345,NA,15.4145658330621,-1.04478459484651,-0.120239820736295,"mean",-0.323130583210708,6.91770560983531,8.32603268595508,0.46027397260274
"187","G",252,4090,430,"inundated","G 1","R. crispus","Rumex_crispus","Polygonaceae","Tda","F",1.80773821792836,-2.25146567592364,1.26914652581694,-1.35782203696345,NA,15.4145658330621,-1.04478459484651,-0.120239820736295,"mean",-0.323130583210708,6.06378520868761,8.31630024903685,0.69041095890411
"188","G",252,4020,500,"inundated","G 2","R. crispus","Rumex_crispus","Polygonaceae","Tda","F",1.80773821792836,-2.25146567592364,1.26914652581694,-1.35782203696345,NA,15.4145658330621,-1.04478459484651,-0.120239820736295,"mean",-0.323130583210708,6.21460809842219,8.29903718161307,0.69041095890411
"189","H",0,3870,3870,"inundated","H 1","M. drumondii","Marsilea_drummondii","Marsileaceae","AR","F",1.81788806981645,-0.563931918531693,0.330043414440062,-0.210640543355728,4.81500081280734,13.8351953388124,0.0198487322539508,-0.243578172913656,"mean",0.373600085916797,8.26100978602383,8.26100978602383,0
"190","H",0,3870,3870,"inundated","H 2","M. drumondii","Marsilea_drummondii","Marsileaceae","AR","F",1.81788806981645,-0.563931918531693,0.330043414440062,-0.210640543355728,4.81500081280734,13.8351953388124,0.0198487322539508,-0.243578172913656,"mean",0.373600085916797,8.26100978602383,8.26100978602383,0
"191","H",0,3870,3870,"inundated","H 3","M. drumondii","Marsilea_drummondii","Marsileaceae","AR","F",1.81788806981645,-0.563931918531693,0.330043414440062,-0.210640543355728,4.81500081280734,13.8351953388124,0.0198487322539508,-0.243578172913656,"mean",0.373600085916797,8.26100978602383,8.26100978602383,0
"192","H",14,4360,3320,"inundated","H 1","M. drumondii","Marsilea_drummondii","Marsileaceae","AR","F",1.81788806981645,-0.563931918531693,0.330043414440062,-0.210640543355728,4.81500081280734,13.8351953388124,0.0198487322539508,-0.243578172913656,"mean",0.373600085916797,8.10772006191053,8.38022733634308,0.0383561643835616
"193","H",14,4050,3010,"inundated","H 2","M. drumondii","Marsilea_drummondii","Marsileaceae","AR","F",1.81788806981645,-0.563931918531693,0.330043414440062,-0.210640543355728,4.81500081280734,13.8351953388124,0.0198487322539508,-0.243578172913656,"mean",0.373600085916797,8.00969535774292,8.30647216010058,0.0383561643835616
"194","H",14,4190,3200,"inundated","H 3","M. drumondii","Marsilea_drummondii","Marsileaceae","AR","F",1.81788806981645,-0.563931918531693,0.330043414440062,-0.210640543355728,4.81500081280734,13.8351953388124,0.0198487322539508,-0.243578172913656,"mean",0.373600085916797,8.07090608878782,8.34045601291618,0.0383561643835616
"195","H",28,4450,3340,"inundated","H 1","M. drumondii","Marsilea_drummondii","Marsileaceae","AR","F",1.81788806981645,-0.563931918531693,0.330043414440062,-0.210640543355728,4.81500081280734,13.8351953388124,0.0198487322539508,-0.243578172913656,"mean",0.373600085916797,8.11372608597075,8.40065937516029,0.0767123287671233
"196","H",28,3900,3010,"inundated","H 2","M. drumondii","Marsilea_drummondii","Marsileaceae","AR","F",1.81788806981645,-0.563931918531693,0.330043414440062,-0.210640543355728,4.81500081280734,13.8351953388124,0.0198487322539508,-0.243578172913656,"mean",0.373600085916797,8.00969535774292,8.26873183211774,0.0767123287671233
"197","H",28,4240,3220,"inundated","H 3","M. drumondii","Marsilea_drummondii","Marsileaceae","AR","F",1.81788806981645,-0.563931918531693,0.330043414440062,-0.210640543355728,4.81500081280734,13.8351953388124,0.0198487322539508,-0.243578172913656,"mean",0.373600085916797,8.07713663853845,8.352318548226,0.0767123287671233
"198","H",42,4290,3100,"inundated","H 1","M. drumondii","Marsilea_drummondii","Marsileaceae","AR","F",1.81788806981645,-0.563931918531693,0.330043414440062,-0.210640543355728,4.81500081280734,13.8351953388124,0.0198487322539508,-0.243578172913656,"mean",0.373600085916797,8.03915739047324,8.36404201192206,0.115068493150685
